ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
77,UYMVD_2008_12_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/12/08,"39,73",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
78,UYMVD_2008_12_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/12/08,"17,5",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
79,UYMVD_2008_12_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/12/08,"20,05",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
80,UYMVD_2009_1_1_24,UYMVD_PM2_D ,24,PM2,ug/m3,01/01/09,"20,13",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
81,UYMVD_2009_1_9_24,UYMVD_PM2_D ,24,PM2,ug/m3,09/01/09,"39,89",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
82,UYMVD_2009_1_11_24,UYMVD_PM2_D ,24,PM2,ug/m3,11/01/09,"86,32",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
83,UYMVD_2009_1_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/01/09,"59,56",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
84,UYMVD_2009_1_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/01/09,"97,83",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
85,UYMVD_2009_2_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/02/09,"76,83",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
86,UYMVD_2009_2_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/02/09,"37,31",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
87,UYMVD_2009_2_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/02/09,"39,74",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
88,UYMVD_2009_3_2_24,UYMVD_PM2_D ,24,PM2,ug/m3,02/03/09,"97,96",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
89,UYMVD_2009_3_4_24,UYMVD_PM2_D ,24,PM2,ug/m3,04/03/09,"21,86",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
90,UYMVD_2009_3_15_24,UYMVD_PM2_D ,24,PM2,ug/m3,15/03/09,"18,19",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
91,UYMVD_2009_4_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/04/09,"15,8",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
92,UYMVD_2009_4_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/04/09,"37,6",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
93,UYMVD_2009_5_1_24,UYMVD_PM2_D ,24,PM2,ug/m3,01/05/09,"27,83",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
94,UYMVD_2009_5_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/05/09,"37,82",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
